Date,Confirmed,Label,Recovered
01/23/2020,444,17,28
01/24/2020,549,24,31
01/25/2020,761,40,32
01/26/2020,1058,52,42
01/27/2020,1423,76,45
01/28/2020,3554,125,80
01/29/2020,3554,125,88
01/30/2020,4903,162,90
01/31/2020,5806,204,141
02/1/2020,7153,249,168
02/2/2020,11177,350,295
02/3/2020,13522,414,386
02/4/2020,16678,479,522
02/5/2020,19665,549,633
02/6/2020,22112,618,817
02/7/2020,24953,699,1115
02/8/2020,27100,780,1439
02/9/2020,29631,871,1795
02/10/2020,31728,974,2222
02/11/2020,33366,1068,2639
02/12/2020,33366,1068,2686
02/13/2020,48206,1310,3459
02/14/2020,54406,1457,4774
02/15/2020,56249,1596,5623
02/16/2020,58182,1696,6639
02/17/2020,59989,1789,7862
02/18/2020,61682,1921,9128
02/19/2020,62031,2029,10337
02/20/2020,62442,2144,11788
02/21/2020,62662,2144,11881
02/22/2020,64084,2346,15299
02/23/2020,64084,2346,15343
02/24/2020,64287,2495,16748
02/25/2020,64786,2563,18971
02/26/2020,65187,2615,20969
02/27/2020,65596,2641,23383
02/28/2020,65914,2682,26403
02/29/2020,66337,2727,28993
03/1/2020,66907,2761,31536
03/2/2020,67103,2803,33934
03/3/2020,67217,2835,36208
03/4/2020,67332,2871,38557
03/5/2020,67466,2902,40592
03/6/2020,67592,2931,42033
03/7/2020,67666,2959,43500
03/8/2020,67707,2986,45235
03/9/2020,67743,3008,46488
03/10/2020,67760,3024,47743
03/11/2020,67773,3046,49134
03/12/2020,67781,3056,50318
03/13/2020,67790,3075,52943
03/14/2020,67794,3085,54278
03/15/2020,67798,3099,55094
03/16/2020,67799,3111,55987
03/17/2020,67799,3111,55987
03/18/2020,67800,3130,57678
03/19/2020,67800,3130,57678
03/20/2020,67800,3132,58381
