Date,Confirmed,Label,Recovered                                                                                                                                                                                                 Confirmed,Label,Recovered
02/20/2020,3,0,0
02/21/2020,20,1,0
02/22/2020,62,2,1
02/23/2020,155,3,2
02/24/2020,229,7,1
02/25/2020,322,10,1
02/26/2020,453,12,3
02/27/2020,655,17,45
02/28/2020,888,21,46
02/29/2020,1128,29,46
03/1/2020,1694,34,83
03/2/2020,2036,52,149
03/3/2020,2502,79,160
03/4/2020,3089,107,276
03/5/2020,3858,148,414
03/6/2020,4636,197,523
03/7/2020,5883,233,589
03/8/2020,7375,366,622
03/9/2020,9172,463,724
03/10/2020,10149,631,724
03/11/2020,12462,827,1045
03/12/2020,15113,1016,1258
03/13/2020,17660,1266,1439
03/14/2020,21157,1441,1966
03/15/2020,24747,1809,2335
03/16/2020,27980,2158,2749
03/17/2020,31506,2503,2749
03/18/2020,35713,2978,4205
03/19/2020,41035,3405,4440
03/20/2020,47201,4032,4440
