Date,Confirmed,Label,Recovered
2/27/2020,1,0,0
2/28/2020,1,0,0
2/29/2020,6,0,0
3/1/2020,10,0,0
3/2/2020,18,0,0
3/3/2020,24,0,0
3/4/2020,38,0,0
3/5/2020,82,0,0
3/6/2020,128,1,0
3/7/2020,188,1,0
3/8/2020,265,3,0
3/9/2020,321,3,0
3/10/2020,382,4,0
3/11/2020,503,5,0
3/12/2020,503,5,0
3/13/2020,804,10,0
3/14/2020,959,12,2
3/15/2020,1136,20,2
3/16/2020,1414,24,2
3/17/2020,1708,43,2
3/18/2020,2056,59,2
3/19/2020,2467,77,2
3/20/2020,3003,107,2
3/21/2020,3631,136,2
3/22/2020,4216,180,2
3/23/2020,4764,214,3
3/24/2020,5580,277,3
3/25/2020,6440,357,6
3/26/2020,7459,435,6
3/27/2020,8603,546,3
3/28/2020,9762,639,3
3/29/2020,10866,771,3
